id,name,graduation_year,degree,department,current_company,current_position,current_team,location,email,linkedin_url,skills,industry,seniority_level,hiring_authority,response_rate,referral_success_rate,bio
alumni_011,Aditya Verma,2019,B.Tech Computer Science,Computer Science,Salesforce,Software Engineer,Platform Engineering,"San Francisco, CA",aditya.verma@salesforce.com,https://linkedin.com/in/adityaverma,"Java,Python,Salesforce,Cloud Architecture,Microservices",Technology,mid,false,0.78,0.62,"Software engineer building enterprise cloud platform solutions at Salesforce"
alumni_012,Pooja Sharma,2017,B.Tech Information Technology,Information Technology,LinkedIn,Senior Software Engineer,Professional Network,"Sunnyvale, CA",pooja.sharma@linkedin.com,https://linkedin.com/in/poojasharma,"Java,Scala,Kafka,Hadoop,Machine Learning,Big Data",Technology,senior,true,0.87,0.80,"Senior engineer working on professional networking features and data infrastructure at LinkedIn"
alumni_013,Manish Gupta,2015,B.Tech Computer Science,Computer Science,Adobe,Principal Engineer,Creative Cloud,"San Jose, CA",manish.gupta@adobe.com,https://linkedin.com/in/manishgupta,"C++,JavaScript,React,WebGL,Computer Graphics",Technology,executive,true,0.65,0.88,"Principal engineer leading Creative Cloud platform development with expertise in graphics and web technologies"
alumni_014,Ritu Agarwal,2020,B.Tech Data Science,Data Science,Flipkart,Data Scientist,Personalization,"Bangalore, India",ritu.agarwal@flipkart.com,https://linkedin.com/in/rituagarwal,"Python,SQL,Machine Learning,Spark,Recommendation Systems",Technology,mid,false,0.85,0.60,"Data scientist building personalization and recommendation systems for e-commerce at Flipkart"
alumni_015,Amit Kumar,2016,B.Tech Computer Science,Computer Science,Zomato,Engineering Manager,Backend Platform,"Gurugram, India",amit.kumar@zomato.com,https://linkedin.com/in/amitkumar,"Python,Java,PostgreSQL,Redis,Microservices,Team Leadership",Technology,manager,true,0.90,0.85,"Engineering manager leading backend platform teams at Zomato with 8+ years experience in scalable systems"
alumni_016,Nisha Patel,2019,B.Tech Electrical Engineering,Electrical Engineering,Qualcomm,Hardware Engineer,5G Chipsets,"San Diego, CA",nisha.patel@qualcomm.com,https://linkedin.com/in/nishapatel,"VLSI,SystemVerilog,5G,Signal Processing,MATLAB",Semiconductors,mid,false,0.70,0.55,"Hardware engineer designing 5G chipsets and wireless communication systems at Qualcomm"
alumni_017,Suresh Reddy,2018,MBA Business Administration,Business Administration,PayPal,Product Manager,Payments Platform,"San Jose, CA",suresh.reddy@paypal.com,https://linkedin.com/in/sureshreddy,"Product Management,Fintech,Data Analysis,Strategy,User Research",Fintech,senior,true,0.82,0.70,"Product manager driving payments platform innovation at PayPal with expertise in fintech products"
alumni_018,Anjali Singh,2020,B.Tech Computer Science,Computer Science,Swiggy,Software Engineer,Delivery Platform,"Bangalore, India",anjali.singh@swiggy.com,https://linkedin.com/in/anjalisingh,"Python,React,Node.js,MongoDB,Redis,Microservices",Technology,mid,false,0.88,0.65,"Software engineer building food delivery platform systems at Swiggy with focus on real-time logistics"
alumni_019,Rahul Sharma,2017,B.Tech Mechanical Engineering,Mechanical Engineering,SpaceX,Propulsion Engineer,Raptor Engines,"Hawthorne, CA",rahul.sharma@spacex.com,https://linkedin.com/in/rahulsharma,"CAD,ANSYS,Propulsion Systems,Rocket Engineering,MATLAB",Aerospace,senior,false,0.60,0.70,"Propulsion engineer working on Raptor rocket engines at SpaceX with expertise in aerospace systems"
alumni_020,Divya Agarwal,2019,B.Tech Computer Science,Computer Science,Razorpay,Senior Software Engineer,Payments Core,"Bangalore, India",divya.agarwal@razorpay.com,https://linkedin.com/in/divyaagarwal,"Java,Python,PostgreSQL,Redis,Payment Systems,API Design",Fintech,senior,true,0.85,0.75,"Senior engineer building core payment systems at Razorpay with expertise in financial technology and APIs"
